date,index_name,close
2026-03-16,其他電子類指數,225.4
2026-03-16,建材營造類指數,466.89
2026-03-16,航運類指數,186.33
2026-03-16,觀光餐旅類指數,104.58
2026-03-16,金融保險類指數,2430.14
2026-03-16,貿易百貨類指數,232.11
2026-03-16,油電燃氣類指數,80.7
2026-03-16,綠能環保類指數,109.91
2026-03-16,數位雲端類指數,34.92
2026-03-16,運動休閒類指數,62.27
2026-03-16,居家生活類指數,108.82
2026-03-16,其他類指數,266.88
2026-03-13,發行量加權股價指數,33400.32
2026-03-13,水泥窯製類指數,622.7
2026-03-13,塑膠化工類指數,730.46
2026-03-13,機電類指數,11452.51
2026-03-13,水泥類指數,123.97
2026-03-13,食品類指數,1906.83
2026-03-13,塑膠類指數,186.11
2026-03-13,紡織纖維類指數,492.04
2026-03-13,電機機械類指數,470.3
2026-03-13,電器電纜類指數,99.07
2026-03-13,化學生技醫療類指數,139.41
2026-03-13,化學類指數,173.13
2026-03-13,生技醫療類指數,76.63
2026-03-13,玻璃陶瓷類指數,134.01
2026-03-13,造紙類指數,236.16
2026-03-13,鋼鐵類指數,118.18
2026-03-13,橡膠類指數,186.54
2026-03-13,汽車類指數,285.62
2026-03-13,電子工業類指數,2073.23
2026-03-13,半導體類指數,1107.91
2026-03-13,電腦及週邊設備類指數,317.85
2026-03-13,光電類指數,44.78
2026-03-13,通信網路類指數,202.17
2026-03-13,電子零組件類指數,565.0
2026-03-13,電子通路類指數,313.73
2026-03-13,資訊服務類指數,198.15
2026-03-13,其他電子類指數,225.1
2026-03-13,建材營造類指數,467.13
2026-03-13,航運類指數,181.86
2026-03-13,觀光餐旅類指數,104.82
2026-03-13,金融保險類指數,2420.21
2026-03-13,貿易百貨類指數,233.08
2026-03-13,油電燃氣類指數,80.5
2026-03-13,綠能環保類指數,109.94
2026-03-13,數位雲端類指數,34.81
2026-03-13,運動休閒類指數,61.64
2026-03-13,居家生活類指數,106.23
2026-03-13,其他類指數,264.59
2026-03-12,發行量加權股價指數,33581.86
2026-03-12,水泥窯製類指數,617.56
2026-03-12,塑膠化工類指數,724.68
2026-03-12,機電類指數,11517.67
2026-03-12,水泥類指數,125.17
2026-03-12,食品類指數,1907.02
2026-03-12,塑膠類指數,181.17
2026-03-12,紡織纖維類指數,498.23
2026-03-12,電機機械類指數,472.45
2026-03-12,電器電纜類指數,99.53
2026-03-12,化學生技醫療類指數,140.55
2026-03-12,化學類指數,169.21
2026-03-12,生技醫療類指數,78.42
2026-03-12,玻璃陶瓷類指數,128.19
2026-03-12,造紙類指數,239.1
2026-03-12,鋼鐵類指數,119.61
2026-03-12,橡膠類指數,186.55
2026-03-12,汽車類指數,288.92
2026-03-12,電子工業類指數,2085.07
2026-03-12,半導體類指數,1119.92
2026-03-12,電腦及週邊設備類指數,316.62
2026-03-12,光電類指數,45.46
2026-03-12,通信網路類指數,204.85
2026-03-12,電子零組件類指數,553.38
2026-03-12,電子通路類指數,310.99
2026-03-12,資訊服務類指數,198.62
2026-03-12,其他電子類指數,225.71
2026-03-12,建材營造類指數,467.53
2026-03-12,航運類指數,185.32
2026-03-12,觀光餐旅類指數,105.74
2026-03-12,金融保險類指數,2432.04
2026-03-12,貿易百貨類指數,230.84
2026-03-12,油電燃氣類指數,81.82
2026-03-12,綠能環保類指數,110.93
2026-03-12,數位雲端類指數,35.07
2026-03-12,運動休閒類指數,62.33
2026-03-12,居家生活類指數,106.38
2026-03-12,其他類指數,264.69
2026-03-11,發行量加權股價指數,34114.19
2026-03-11,水泥窯製類指數,620.97
2026-03-11,塑膠化工類指數,741.32
2026-03-11,機電類指數,11729.7
2026-03-11,水泥類指數,123.97
2026-03-11,食品類指數,1908.62
2026-03-11,塑膠類指數,187.69
2026-03-11,紡織纖維類指數,501.95
2026-03-11,電機機械類指數,472.53
